Name,Type,Quality
Anklet,Celestial Anklet of Wisdom D.A.D,D
Anklet,Celestial Anklet of Courage D.B.S,B
Anklet,Celestial Anklet of Agility D.B.S,B
Anklet,Celestial Anklet of Magic D.B.S,B
Anklet,Celestial Anklet of Wisdom D.B.S,B
Anklet,Celestial Anklet of Courage D.B.A,A
Anklet,Celestial Anklet of Agility D.B.A,A
Anklet,Celestial Anklet of Magic D.B.A,A
Anklet,Celestial Anklet of Wisdom D.B.A,A
Anklet,Celestial Anklet of Courage D.B.B,B
Anklet,Celestial Anklet of Agility D.B.B,B
Anklet,Celestial Anklet of Magic D.B.B,B
Anklet,Celestial Anklet of Wisdom D.B.B,B
Anklet,Celestial Anklet of Courage D.B.C,C
Anklet,Celestial Anklet of Agility D.B.C,C
Anklet,Celestial Anklet of Magic D.B.C,C
Anklet,Celestial Anklet of Wisdom D.B.C,C
Anklet,Celestial Anklet of Courage D.B.D,D
Anklet,Celestial Anklet of Agility D.B.D,D
Anklet,Celestial Anklet of Magic D.B.D,D
Anklet,Celestial Anklet of Wisdom D.B.D,D
Anklet,Celestial Anklet of Courage D.C.S,C
Anklet,Celestial Anklet of Agility D.C.S,C
Anklet,Celestial Anklet of Magic D.C.S,C
Anklet,Celestial Anklet of Wisdom D.C.S,C
Anklet,Celestial Anklet of Courage D.C.A,A
Anklet,Celestial Anklet of Agility D.C.A,A
Anklet,Celestial Anklet of Magic D.C.A,A
Anklet,Celestial Anklet of Wisdom D.C.A,A
Anklet,Celestial Anklet of Courage D.C.B,B
Anklet,Celestial Anklet of Agility D.C.B,B
Anklet,Celestial Anklet of Magic D.C.B,B
Anklet,Celestial Anklet of Wisdom D.C.B,B
Anklet,Celestial Anklet of Courage D.C.C,C
Anklet,Celestial Anklet of Agility D.C.C,C
Anklet,Celestial Anklet of Magic D.C.C,C
Anklet,Celestial Anklet of Wisdom D.C.C,C
Anklet,Celestial Anklet of Courage D.C.D,D
Anklet,Celestial Anklet of Agility D.C.D,D
Anklet,Celestial Anklet of Magic D.C.D,D
Anklet,Celestial Anklet of Wisdom D.C.D,D
Anklet,Celestial Anklet of Courage D.D.S,D
Anklet,Celestial Anklet of Agility D.D.S,D
Anklet,Celestial Anklet of Magic D.D.S,D
Anklet,Celestial Anklet of Wisdom D.D.S,D
Anklet,Celestial Anklet of Courage D.D.A,A
Anklet,Celestial Anklet of Agility D.D.A,A
Anklet,Celestial Anklet of Magic D.D.A,A
Anklet,Celestial Anklet of Wisdom D.D.A,A
Anklet,Celestial Anklet of Courage D.D.B,B
Anklet,Celestial Anklet of Agility D.D.B,B
Anklet,Celestial Anklet of Magic D.D.B,B
Anklet,Celestial Anklet of Wisdom D.D.B,B
Anklet,Celestial Anklet of Courage D.D.C,C
Anklet,Celestial Anklet of Agility D.D.C,C
Anklet,Celestial Anklet of Magic D.D.C,C
Anklet,Celestial Anklet of Wisdom D.D.C,C
Anklet,Celestial Anklet of Courage D.D.D,D
Anklet,Celestial Anklet of Agility D.D.D,D
Anklet,Celestial Anklet of Magic D.D.D,D
Anklet,Celestial Anklet of Wisdom D.D.D,D
